,player_name,team,G,xHG,xPCT,HG,PCT
543,Terrance Gore,KC,19,3,15.789473684210526,11,57.89473684210527
461,Jacob deGrom,NYM,31,3,9.67741935483871,10,32.25806451612903
607,Max Fried,ATL,31,3,9.67741935483871,10,32.25806451612903
621,German Marquez,COL,24,3,12.5,10,41.66666666666667
796,Pat Valaika,COL,38,3,7.894736842105263,10,26.31578947368421
390,Breyvic Valera,TOR,15,3,20.0,9,60.0
565,Brandon Woodruff,MIL,23,3,13.043478260869565,9,39.130434782608695
261,Kyle Higashioka,NYY,16,3,18.75,8,50.0
670,Edwin Rios,LAD,27,3,11.11111111111111,8,29.629629629629626
945,Danny Mendick,CWS,13,3,23.076923076923077,8,61.53846153846154
959,Jake Rogers,DET,35,3,8.571428571428571,8,22.857142857142858
264,Caleb Joseph,ARI,18,3,16.666666666666664,7,38.88888888888889
307,Hyun-Jin Ryu,LAD,28,3,10.714285714285714,7,25.0
451,Alen Hanson,TOR,16,3,18.75,7,43.75
472,Scott Schebler,CIN,30,3,10.0,7,23.333333333333332
491,Kevin Kramer,PIT,22,3,13.636363636363635,7,31.818181818181817
947,Nick Dini,KC,19,3,15.789473684210526,7,36.84210526315789
514,Peter O'Brien,MIA,14,3,21.428571428571427,6,42.857142857142854
860,Bobby Bradley,CLE,15,3,20.0,6,40.0
33,Mark Trumbo,BAL,12,3,25.0,5,41.66666666666667
355,John Ryan Murphy,ATL,26,3,11.538461538461538,5,19.230769230769234
485,Greg Bird,NYY,10,3,30.0,5,50.0
640,Franklin Barreto,OAK,20,3,15.0,5,25.0
877,Cedric Mullins,BAL,21,3,14.285714285714285,5,23.809523809523807
147,Abraham Almonte,ARI,16,3,18.75,4,25.0
784,Ian Miller,MIN,7,3,42.857142857142854,2,28.57142857142857
954,Carter Kieboom,WSH,11,3,27.27272727272727,2,18.181818181818183
798,Tyler Wade,NYY,38,2,5.263157894736842,16,42.10526315789473
156,Kristopher Negron,LAD,35,2,5.714285714285714,15,42.857142857142854
919,Brendan Rodgers,COL,25,2,8.0,13,52.0
866,Jack Flaherty,STL,30,2,6.666666666666667,10,33.33333333333333
422,Yadiel Rivera,MIA,31,2,6.451612903225806,9,29.03225806451613
552,Michael Perez,TB,18,2,11.11111111111111,9,50.0
429,Caleb Smith,MIA,26,2,7.6923076923076925,8,30.76923076923077
746,Dustin Peterson,DET,12,2,16.666666666666664,8,66.66666666666666
67,Jake Arrieta,PHI,23,2,8.695652173913043,7,30.434782608695656
596,Alex Blandino,CIN,21,2,9.523809523809524,7,33.33333333333333
893,Mark Zagunis,CHC,28,2,7.142857142857142,7,25.0
900,Josh Fuentes,COL,23,2,8.695652173913043,7,30.434782608695656
914,Peter Lambert,COL,19,2,10.526315789473683,7,36.84210526315789
939,Kyle Garlick,LAD,29,2,6.896551724137931,7,24.137931034482758
220,Julio Teheran,ATL,32,2,6.25,6,18.75
418,Rangel Ravelo,STL,28,2,7.142857142857142,6,21.428571428571427
438,Trevor Williams,PIT,22,2,9.090909090909092,6,27.27272727272727
550,Aaron Nola,PHI,32,2,6.25,6,18.75
634,Miguel Andujar,NYY,12,2,16.666666666666664,6,50.0
672,Taylor Ward,LAA,17,2,11.76470588235294,6,35.294117647058826
886,Lane Thomas,STL,26,2,7.6923076923076925,6,23.076923076923077
925,Jaylin Davis,SF,17,2,11.76470588235294,6,35.294117647058826
23,Anibal Sanchez,WSH,27,2,7.4074074074074066,5,18.51851851851852
676,Anthony Bemboom,LAA,22,2,9.090909090909092,5,22.727272727272727
691,Luis Castillo,CIN,31,2,6.451612903225806,5,16.129032258064516
766,Jake Fraley,SEA,11,2,18.181818181818183,5,45.45454545454545
813,Domingo Leyba,ARI,20,2,10.0,5,25.0
13,Cole Hamels,CHC,23,2,8.695652173913043,4,17.391304347826086
78,Erik Kratz,TB,19,2,10.526315789473683,4,21.052631578947366
135,Juan Graterol,CIN,6,2,33.33333333333333,4,66.66666666666666
229,Cristhian Adames,SF,9,2,22.22222222222222,4,44.44444444444444
419,Robbie Ray,ARI,30,2,6.666666666666667,4,13.333333333333334
447,Jorge Bonifacio,KC,5,2,40.0,4,80.0
542,Aramis Garcia,SF,17,2,11.76470588235294,4,23.52941176470588
729,Dom Nunez,COL,15,2,13.333333333333334,4,26.666666666666668
895,Brian O'Grady,CIN,27,2,7.4074074074074066,4,14.814814814814813
119,Ryan Flaherty,CLE,8,2,25.0,3,37.5
126,Peter Bourjos,LAA,16,2,12.5,3,18.75
221,Ryan LaMarre,MIN,12,2,16.666666666666664,3,25.0
398,Kaleb Cowart,LAA,8,2,25.0,3,37.5
432,Noah Syndergaard,NYM,30,2,6.666666666666667,3,10.0
450,Socrates Brito,TOR,14,2,14.285714285714285,3,21.428571428571427
579,Ryan Court,SEA,10,2,20.0,3,30.0
637,Franchy Cordero,SD,9,2,22.22222222222222,3,33.33333333333333
678,Max Moroff,CLE,15,2,13.333333333333334,3,20.0
6,Rene Rivera,NYM,8,2,25.0,2,25.0
74,Dustin Pedroia,BOS,6,2,33.33333333333333,2,33.33333333333333
245,Taylor Davis,CHC,7,2,28.57142857142857,2,28.57142857142857
267,Ryan Lavarnway,CIN,5,2,40.0,2,40.0
592,Beau Taylor,OAK,11,2,18.181818181818183,2,18.181818181818183
66,Max Scherzer,WSH,27,1,3.7037037037037033,9,33.33333333333333
803,Magneuris Sierra,MIA,13,1,7.6923076923076925,9,69.23076923076923
963,Andrew Knizner,STL,17,1,5.88235294117647,9,52.94117647058824
60,Jon Lester,CHC,28,1,3.571428571428571,8,28.57142857142857
303,Michael Lorenzen,CIN,28,1,3.571428571428571,8,28.57142857142857
7,Adam Wainwright,STL,29,1,3.4482758620689653,7,24.137931034482758
549,Joe Musgrove,PIT,33,1,3.0303030303030303,7,21.21212121212121
653,Zach Eflin,PHI,28,1,3.571428571428571,7,25.0
181,Madison Bumgarner,SF,35,1,2.857142857142857,6,17.142857142857142
246,Anthony DeSclafani,CIN,30,1,3.3333333333333335,6,20.0
257,Kyle Hendricks,CHC,29,1,3.4482758620689653,6,20.689655172413794
434,Vince Velasquez,PHI,22,1,4.545454545454546,6,27.27272727272727
664,Brett Phillips,KC,26,1,3.8461538461538463,6,23.076923076923077
750,Pablo Lopez,MIA,21,1,4.761904761904762,6,28.57142857142857
124,Clayton Kershaw,LAD,27,1,3.7037037037037033,5,18.51851851851852
141,Jose Quintana,CHC,31,1,3.225806451612903,5,16.129032258064516
335,Patrick Corbin,WSH,31,1,3.225806451612903,5,16.129032258064516
554,Dereck Rodriguez,SF,17,1,5.88235294117647,5,29.411764705882355
662,Matt Strahm,SD,16,1,6.25,5,31.25
733,Erick Mejia,KC,9,1,11.11111111111111,5,55.55555555555556
26,Bobby Wilson,DET,15,1,6.666666666666667,4,26.666666666666668
131,Logan Morrison,PHI,29,1,3.4482758620689653,4,13.793103448275861
170,Yu Darvish,CHC,30,1,3.3333333333333335,4,13.333333333333334
268,Jordan Lyles,MIL,24,1,4.166666666666666,4,16.666666666666664
278,Tanner Roark,CIN,19,1,5.263157894736842,4,21.052631578947366
298,Anthony Alford,TOR,13,1,7.6923076923076925,4,30.76923076923077
328,Aaron Altherr,NYM,40,1,2.5,4,10.0
589,AJ Reed,CWS,14,1,7.142857142857142,4,28.57142857142857
654,Walker Buehler,LAD,29,1,3.4482758620689653,4,13.793103448275861
677,Patrick Wisdom,TEX,9,1,11.11111111111111,4,44.44444444444444
707,Seth Mejias-Brean,SD,14,1,7.142857142857142,4,28.57142857142857
711,Braden Bishop,SEA,21,1,4.761904761904762,4,19.047619047619047
771,Michael Hermosillo,LAA,13,1,7.6923076923076925,4,30.76923076923077
772,Dakota Hudson,STL,28,1,3.571428571428571,4,14.285714285714285
842,Mike Soroka,ATL,27,1,3.7037037037037033,4,14.814814814814813
869,Jeff Hoffman,COL,15,1,6.666666666666667,4,26.666666666666668
957,Randy Arozarena,STL,12,1,8.333333333333332,4,33.33333333333333
152,Chris Archer,PIT,21,1,4.761904761904762,3,14.285714285714285
406,Jon Gray,COL,26,1,3.8461538461538463,3,11.538461538461538
484,Tyler Beede,SF,25,1,4.0,3,12.0
641,Luis Torrens,SD,7,1,14.285714285714285,3,42.857142857142854
665,Tyrone Taylor,MIL,8,1,12.5,3,37.5
800,Kean Wong,LAA,6,1,16.666666666666664,3,50.0
903,Dinelson Lamet,SD,13,1,7.6923076923076925,3,23.076923076923077
113,Jhoulys Chacin,MIL,18,1,5.555555555555555,2,11.11111111111111
115,Brett Anderson,OAK,3,1,33.33333333333333,2,66.66666666666666
164,Rocky Gale,LAD,5,1,20.0,2,40.0
182,Juan Centeno,BOS,7,1,14.285714285714285,2,28.57142857142857
271,Tim Melville,COL,6,1,16.666666666666664,2,33.33333333333333
629,Eric Stamets,CLE,14,1,7.142857142857142,2,14.285714285714285
706,Tyler Heineman,MIA,5,1,20.0,2,40.0
807,Dario Agrazal,PIT,13,1,7.6923076923076925,2,15.384615384615385
961,Zac Gallen,ARI,14,1,7.142857142857142,2,14.285714285714285
62,Troy Tulowitzki,NYY,5,1,20.0,1,20.0
82,Homer Bailey,OAK,3,1,33.33333333333333,1,33.33333333333333
195,Merrill Kelly,ARI,29,1,3.4482758620689653,1,3.4482758620689653
380,Marcus Stroman,NYM,12,1,8.333333333333332,1,8.333333333333332
503,Luke Weaver,ARI,11,1,9.090909090909092,1,9.090909090909092
517,Raudy Read,WSH,5,1,20.0,1,20.0
643,Deivy Grullon,PHI,4,1,25.0,1,25.0
655,Walker Lockett,NYM,4,1,25.0,1,25.0
