Year,Tm,WAR,Salary,Position
2000,MIL,0.0,,P
2000,CHW,,,P
2000,CHC,0.6,"$1,100,000",CF
2000,SEA,1.9,"$1,450,000",RF
2000,PHI,0.0,"$205,000",P
2000,Tm,WAR,Salary,
2000,CLE,-0.1,"$5,000,000",P
2000,ATL,-0.1,"$750,000",P
2000,BOS,0.5,,1B
2000,SFG,5.0,"$5,500,000",RF
2000,FLA,0.5,"$204,000",P
2000,MIL,1.5,"$4,462,500",RF
2000,PHI,0.5,,1B
2000,TOR,-1.3,"$1,450,000",2B
2000,PHI,0.2,"$1,885,000",P
2000,KCR,,,P
2000,OAK,-0.1,,RF
2000,ARI,0.4,,1B
2000,CLE,-0.2,"$209,000",RF
2000,HOU,0.0,"$252,500",P
2000,MON,-0.9,"$265,000",SS
2000,CLE,,,P
2000,TBD,-0.2,"$295,000",2B
2000,SEA,4.0,"$2,225,000",CF
2000,HOU,1.5,"$4,500,000",3B
2000,NYM,0.1,,P
2000,MIN,0.0,,2B
2000,2TM,1.1,"$3,000,000",LF
2000,DET,-0.4,,C
2000,SDP,0.0,,P
2000,COL,-0.1,,LF
2000,Tm,WAR,Salary,
2000,TOR,0.0,"$733,333",P
2000,COL,0.0,,P
2000,2TM,0.0,"$825,000",P
2000,MIL,0.5,,C
2000,CIN,3.4,"$400,000",1B
2000,BAL,-0.1,,
2000,TBD,-0.3,"$6,250,000",3B
2000,TOR,-0.1,"$425,000",C
2000,TOR,0.0,"$375,000",P
2000,FLA,4.5,"$390,000",2B
2000,CIN,-0.4,,SS
2000,FLA,-0.1,,C
2000,TEX,1.2,"$305,000",2B
2000,HOU,0.5,"$2,400,000",CF
2000,HOU,0.0,,C
2000,CIN,0.0,,P
2000,OAK,2.4,"$240,000",3B
2000,HOU,-0.3,,C
2000,2TM,-0.4,"$207,500",P
2000,NYY,0.0,"$200,000",P
2000,COL,0.1,,P
2000,CHW,-0.2,"$212,500",CF
2000,OAK,0.3,"$221,000",LF
2000,2TM,0.0,"$1,000,000",P
2000,COL,3.4,"$3,600,000",3B
2000,Tm,WAR,Salary,
2000,FLA,0.3,"$201,000",2B
2000,CIN,0.1,,RF
2000,TEX,,"$5,000,000",P
2000,DET,1.1,"$4,062,500",1B
2000,2TM,4.0,"$6,000,000",1B
2000,TEX,-0.4,"$4,500,000",SS
2000,NYY,-0.1,"$6,350,000",P
2000,SDP,-0.3,"$600,000",P
2000,ANA,-1.0,"$215,000",LF
2000,PIT,0.1,,P
2000,TOR,,,P
2000,BAL,-0.2,,3B
2000,PHI,-0.1,,P
2000,ARI,2.0,"$1,005,000",1B
2000,MIL,-0.2,,CF
2000,CLE,-0.1,"$1,125,000",P
2000,NYY,0.0,"$12,000,000",P
2000,BAL,0.6,"$2,500,000",3B
2000,ARI,0.0,,RF
2000,NYM,0.0,"$2,200,000",P
2000,MIN,-0.2,"$1,500,000",1B
2000,ANA,-0.1,,P
2000,MON,-0.3,"$201,500",3B
2000,LAD,0.2,,SS
2000,TEX,0.0,"$200,000",P
2000,Tm,WAR,Salary,
2000,2TM,-0.5,"$2,166,667",LF
