player_name,team,G,xHG,xPCT,HG,PCT
Adam Duvall,ATL,41,8,19.5,18,43.9
Yonathan Daza,COL,42,8,19.0,16,38.1
Jonathan Davis,TOR,29,8,27.6,12,41.4
Chris Herrmann,OAK,28,8,28.6,11,39.3
Giancarlo Stanton,NYY,18,8,44.4,10,55.6
Kyle Lewis,SEA,18,8,44.4,9,50.0
Kevin Cron,ARI,38,8,21.1,8,21.1
Joey Rickard,SF,63,7,11.1,26,41.3
Andrew Knapp,PHI,73,7,9.6,25,34.2
Bryan Holaday,MIA,41,7,17.1,24,58.5
Meibrys Viloria,KC,41,7,17.1,23,56.1
Tyler Austin,MIL,89,7,7.9,20,22.5
Cory Spangenberg,MIL,31,7,22.6,18,58.1
Willi Castro,DET,29,7,24.1,17,58.6
Mark Reynolds,COL,78,7,9.0,16,20.5
Nick Martini,SD,32,7,21.9,15,46.9
Rafael Ortega,ATL,34,7,20.6,13,38.2
Nick Williams,PHI,64,7,10.9,12,18.8
Jared Walsh,LAA,30,7,23.3,12,40.0
Zack Collins,CWS,27,7,25.9,9,33.3
Sean Murphy,OAK,19,7,36.8,6,31.6
Tim Lopes,SEA,39,6,15.4,24,61.5
Michael A. Taylor,WSH,42,6,14.3,16,38.1
Steve Pearce,BOS,29,6,20.7,13,44.8
Dustin Garneau,OAK,31,6,19.4,13,41.9
Carlos Gomez,NYM,30,6,20.0,12,40.0
Scott Heineman,TEX,22,6,27.3,11,50.0
Austin Wynns,BAL,24,6,25.0,11,45.8
Abraham Toro,HOU,25,6,24.0,11,44.0
Jesus Sucre,BAL,20,6,30.0,9,45.0
Blake Swihart,ARI,43,6,14.0,9,20.9
Thairo Estrada,NYY,25,6,24.0,9,36.0
Yu Chang,CLE,27,6,22.2,9,33.3
Kyle Tucker,HOU,22,6,27.3,9,40.9
Sheldon Neuse,OAK,19,6,31.6,8,42.1
Robel Garcia,CHC,28,6,21.4,7,25.0
Charlie Culberson,ATL,91,5,5.5,23,25.3
Pablo Reyes,PIT,68,5,7.4,21,30.9
Sean Rodriguez,PHI,68,5,7.4,18,26.5
Matt Skole,CWS,27,5,18.5,14,51.9
Kelvin Gutierrez,KC,20,5,25.0,13,65.0
Seth Brown,OAK,26,5,19.2,13,50.0
Nicky Delmonico,CWS,21,5,23.8,11,52.4
Nick Hundley,OAK,26,5,19.2,10,38.5
Chad Wallach,MIA,19,5,26.3,9,47.4
Isaac Galloway,MIA,18,5,27.8,8,44.4
LaMonte Wade Jr,MIN,25,5,20.0,8,32.0
Gorkys Hernandez,BOS,18,5,27.8,7,38.9
Jake Elmore,PIT,20,5,25.0,7,35.0
Tyler Saladino,MIL,27,5,18.5,6,22.2
Christian Arroyo,TB,16,5,31.2,6,37.5
Roman Quinn,PHI,40,4,10.0,14,35.0
Richard Urena,TOR,28,4,14.3,14,50.0
Jedd Gyorko,LAD,58,4,6.9,11,19.0
Kenta Maeda,LAD,30,4,13.3,11,36.7
Zack Greinke,HOU,25,4,16.0,10,40.0
Matt Kemp,CIN,20,4,20.0,10,50.0
Stephen Strasburg,WSH,33,4,12.1,10,30.3
Zack Wheeler,NYM,28,4,14.3,10,35.7
Corban Joseph,PIT,28,4,14.3,9,32.1
JB Shuck,PIT,25,4,16.0,9,36.0
Jason Martin,PIT,16,4,25.0,8,50.0
Hanley Ramirez,CLE,16,4,25.0,7,43.8
Drew Butera,COL,15,4,26.7,6,40.0
Garrett Stubbs,HOU,15,4,26.7,6,40.0
Mason Williams,BAL,11,4,36.4,5,45.5
Jack Mayfield,HOU,23,4,17.4,5,21.7
Daniel Palka,CWS,30,4,13.3,4,13.3
Rosell Herrera,MIA,53,3,5.7,16,30.2
Phil Gosselin,PHI,42,3,7.1,15,35.7
Luis Guillorme,NYM,41,3,7.3,13,31.7
Steven Brault,PIT,29,3,10.3,12,41.4
Austin Allen,SD,32,3,9.4,12,37.5
Steven Matz,NYM,31,3,9.7,11,35.5
Terrance Gore,KC,19,3,15.8,11,57.9
Jacob deGrom,NYM,31,3,9.7,10,32.3
Max Fried,ATL,31,3,9.7,10,32.3
German Marquez,COL,24,3,12.5,10,41.7
Pat Valaika,COL,38,3,7.9,10,26.3
Breyvic Valera,TOR,15,3,20.0,9,60.0
Brandon Woodruff,MIL,23,3,13.0,9,39.1
Kyle Higashioka,NYY,16,3,18.8,8,50.0
Edwin Rios,LAD,27,3,11.1,8,29.6
Danny Mendick,CWS,13,3,23.1,8,61.5
Jake Rogers,DET,35,3,8.6,8,22.9
Caleb Joseph,ARI,18,3,16.7,7,38.9
Hyun-Jin Ryu,LAD,28,3,10.7,7,25.0
Alen Hanson,TOR,16,3,18.8,7,43.8
Scott Schebler,CIN,30,3,10.0,7,23.3
Kevin Kramer,PIT,22,3,13.6,7,31.8
Nick Dini,KC,19,3,15.8,7,36.8
Peter O'Brien,MIA,14,3,21.4,6,42.9
Bobby Bradley,CLE,15,3,20.0,6,40.0
Mark Trumbo,BAL,12,3,25.0,5,41.7
John Ryan Murphy,ATL,26,3,11.5,5,19.2
Greg Bird,NYY,10,3,30.0,5,50.0
Franklin Barreto,OAK,20,3,15.0,5,25.0
Cedric Mullins,BAL,21,3,14.3,5,23.8
Abraham Almonte,ARI,16,3,18.8,4,25.0
Ian Miller,MIN,7,3,42.9,2,28.6
Carter Kieboom,WSH,11,3,27.3,2,18.2
Tyler Wade,NYY,38,2,5.3,16,42.1
Kristopher Negron,LAD,35,2,5.7,15,42.9
Brendan Rodgers,COL,25,2,8.0,13,52.0
Jack Flaherty,STL,30,2,6.7,10,33.3
Yadiel Rivera,MIA,31,2,6.5,9,29.0
Michael Perez,TB,18,2,11.1,9,50.0
Caleb Smith,MIA,26,2,7.7,8,30.8
Dustin Peterson,DET,12,2,16.7,8,66.7
Jake Arrieta,PHI,23,2,8.7,7,30.4
Alex Blandino,CIN,21,2,9.5,7,33.3
Mark Zagunis,CHC,28,2,7.1,7,25.0
