Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Dustin McElwain,OF,William Jessup University,NAIA,17,0,6,12,5,0,1,9,0,0.333,0.4,0.556,0.956,0,,0,,0,0
Noel McGarry-Doyle,OF,Southeastern,JUCO: Division 2,25,56,19,19,5,0,1,19,5,0.339,0.5,0.482,0.982,0,0.0,0,0.0,0,0
Joel McGrath,RHP,Colby,JUCO: Division 1,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,9.0,1,20.0,0,12
Tyson McInnes,RHP,Edmonds,NW Athletic Conference,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2.0,0,13.5,0,2
Riley McKinnon,RHP,Marshalltown,JUCO: Division 1,14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14,20.1,2,11.95,0,19
Duncan McLaughlin,RHP,Southeastern,JUCO: Division 2,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,32.2,2,7.16,0,30
Josh Mendoza,OF,Marshalltown,JUCO: Division 1,3,7,1,1,0,1,0,0,0,0.143,0.143,0.429,0.572,0,0.0,0,0.0,0,0
Stefan Mielzynski,1B/DH,Otero,JUCO: Division 1,9,23,3,3,0,0,0,1,0,0.13,0.31,0.13,0.44,0,0.0,0,0.0,0,0
Theo Millas,RHP,Louisiana State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,7,9.0,1,3.0,0,4
Michael Millross,UTL,Elmira College,NCAA: Division 3,18,31,5,6,2,0,0,4,3,0.194,0.341,0.258,0.599,0,,0,,0,0
Samuel Mitcham,C,Highland (KS),JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Jack Moir,C,Itasca,JUCO: Division 3,11,19,8,6,1,0,1,7,0,0.316,0.409,0.526,0.935,0,0.0,0,0.0,0,0
Gabriel Monterrey,INF,Roane State,JUCO: Division 1,32,98,14,25,3,0,2,8,3,0.255,0.318,0.347,0.665,0,0.0,0,0.0,0,0
Bennett Moore,RHP,Johnson County,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Tyler Mosher,INF,Davenport University,NCAA: Division 2,7,10,0,2,0,0,0,1,0,0.2,0.333,0.2,0.533,0,,0,,0,0
Adlai Muench,OF,Salem University,NCAA: Division 2,9,14,1,1,0,0,0,2,0,0.071,0.235,0.071,0.306,0,,0,,0,0
Justin Murray,C/INF,Salem University,NCAA: Division 2,8,22,5,4,1,0,0,5,1,0.182,0.25,0.227,0.477,0,,0,,0,0
Tory Nelson,IF,Bismarck State,JUCO: Division 2,8,5,2,2,2,0,0,4,0,0.4,0.5,0.8,1.3,0,0.0,0,0.0,0,0
Blake Nelson,INF/OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Brandon Nicoll,INF,Galveston,JUCO: Division 1,38,124,25,42,9,2,9,30,4,0.339,0.4,0.661,1.061,0,0.0,0,0.0,0,0
Connor O'Halloran,LHP,University of Michigan,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,5.2,0,14.29,0,8
Matthew O'Reilly,OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Evan O'Toole,RHP/OF,Iowa Western,JUCO: Division 1,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,39.2,7,1.36,0,32
Craig Oliver,INF,Niagara County,JUCO: Division 3,2,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Darius Opdambak,RHP/3B,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Tristan Osika,SS,Indiana Tech,NAIA,14,0,0,2,0,0,0,3,0,0.133,0.235,0.133,0.368,0,,0,,0,0
Jackson Painter,RHP,Erie,JUCO: Division 3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2.1,0,30.86,0,2
Myles Pallister,RHP,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,6,3.0,0,18.0,0,4
Derek Palmiere,RHP,Williston State,JUCO: Division 2,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,28.1,2,10.16,0,30
Sukhbir Parmar,RHP,Salem University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,2,3.2,0,17.18,0,4
Jaden Parsons,INF,Cloud County,JUCO: Division 1,38,145,34,49,14,2,0,23,14,0.338,0.419,0.462,0.881,0,0.0,0,0.0,0,0
Tylar Patrick,RHP/3B,Northampton,JUCO: Division 3,4,1,0,0,0,0,0,0,1,0.0,0.5,0.0,0.5,2,2.0,0,13.5,0,3
Ethan Paulos,OF,Dawson,JUCO: Division 2,28,76,31,23,2,1,0,12,11,0.303,0.5,0.355,0.855,0,0.0,0,0.0,0,0
Angus Pegg,OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Hugo Pepin,RHP/1B,Pratt,JUCO: Division 1,5,12,2,1,0,0,0,2,0,0.083,0.214,0.083,0.297,1,1.0,0,0.0,0,0
Arlen Peters,RHP/IF,Johnson County,JUCO: Division 1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3.1,0,21.6,0,5
Sean Pettener,IF,Rend Lake,JUCO: Division 1,12,29,8,9,0,0,1,8,0,0.31,0.412,0.414,0.826,0,0.0,0,0.0,0,0
Eric Pettipiece,LHP,Goshen College,NAIA,0,0,0,0,0,0,0,0,0,,,,,13,20.1,1,13.72,0,10
Kyle Pfeifer,RHP/OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Chad Picton,IF,Colby,JUCO: Division 1,16,52,12,15,2,0,4,12,1,0.288,0.383,0.558,0.941,0,0.0,0,0.0,0,0
Blake Pongracz,LHP/OF,Pratt,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Will Potter,LHP,Western Nebraska,JUCO: Division 1,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,14.0,0,7.71,0,9
Chris Pouliot,LHP,University of Pittsburgh,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,7,8.1,2,11.88,0,2
Tyson Pringle,LHP,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Gavin Pringle,RHP,Hawaii Pacific University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,4,11.0,1,4.91,0,8
Otis Pritchett,RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Brady Renneberg,RHP/INF,Mineral Area,JUCO: Division 1,16,12,7,5,1,0,0,5,3,0.417,0.563,0.5,1.063,6,9.2,1,5.59,0,13
Adam Renneberg,RHP/C,Mineral Area,JUCO: Division 1,24,57,19,16,2,0,0,8,3,0.281,0.512,0.316,0.828,0,0.0,0,0.0,0,0
Kai Reum,RHP/INF,Iowa Central,JUCO: Division 2,13,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13,34.0,1,5.03,2,39
Flynn Ridley,RHP,Panola,JUCO: Division 1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,20.2,3,3.92,0,24
Greg Ross,RHP,Howard (TX),JUCO: Division 1,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2.1,0,50.14,0,2
Nico Saldias,RHP,Connors State,JUCO: Division 1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2.0,0,22.5,0,2
Ricardo Sanchez,INF/RHP,Crowder,JUCO: Division 1,4,5,3,1,0,0,0,2,0,0.2,0.5,0.2,0.7,0,0.0,0,0.0,0,0
Ethan Sansaie-Edwards,OF/RHP,St. Clair County,JUCO: Division 2,3,10,3,1,0,0,0,0,3,0.1,0.25,0.1,0.35,0,0.0,0,0.0,0,0
Nicolas Santarelli,C/3B/OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Sean Sasaki,LHP/OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Zach Saufl,RHP,Vanguard University,NAIA,0,0,0,0,0,0,0,0,0,,,,,7,10.1,1,1.74,0,7
Eli Saul,RHP,Sacramento State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,24.0,1,12.0,0,23
Anthony Scali,INF,Siena Heights University,NAIA,7,0,2,0,0,0,0,0,0,0.0,0.3,0.0,0.3,0,,0,,0,0
Colton Schaper-Kotter,UTL,East Central University,NCAA: Division 2,31,98,12,23,3,0,3,18,1,0.235,0.39,0.357,0.747,0,,0,,0,0
Carter Scott,RHP,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Kale Seitz,1B,Bellevue,NW Athletic Conference,8,21,4,4,1,0,0,1,1,0.19,0.321,0.238,0.559,0,0.0,0,0.0,0,0
Bauer Sewell,IF,University of Jamestown,NAIA,5,0,2,0,0,0,0,0,0,0.0,,0.0,,0,,0,,0,0
Conall Sexton,LHP,San Diego Christian College,NAIA,0,0,0,0,0,0,0,0,0,,,,,7,10.1,1,9.58,0,11
Mike Short,INF,Niagara County,JUCO: Division 3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Josh Siemens,RHP/IF,Whitworth University,NCAA: Division 3,2,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Josh Siemens,RHP/IF,Whitworth University,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,2,2.0,0,0.0,0,0
Anthony Silvera Jr.,1B,Northeast,JUCO: Division 2,12,31,6,8,4,0,2,5,0,0.258,0.294,0.581,0.875,0,0.0,0,0.0,0,0
Cleary Simpson,IF,Colby,JUCO: Division 1,32,96,31,32,5,0,2,17,3,0.333,0.471,0.448,0.919,0,0.0,0,0.0,0,0
Matt Simpson,C,Northland College,NCAA: Division 3,9,24,1,6,2,0,0,3,1,0.25,0.308,0.333,0.641,0,,0,,0,0
Joseph Sinclair,LHP,Cochise,JUCO: Division 1,12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,28.1,2,7.31,0,35
Ben Sitarenios,OF,Salem University,NCAA: Division 2,9,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Ben Sitarenios,OF,Salem University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,8,9.2,0,10.24,0,6
Jesse Skelton,RHP,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Nathan Slobodian,RHP,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,1,1.0,0,9.0,0,0
Joben Smith,C,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Corbin Smith,OF/RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Dimitri Stamatopoulos,RHP,Dodge City,JUCO: Division 1,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,9.2,1,8.38,0,15
Grayden Stauffer,RHP,"University of Tennessee, Martin",NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,3.2,0,12.27,0,4
Jackson Stephen,OF/RHP,Marshalltown,JUCO: Division 1,36,86,10,24,1,0,3,11,1,0.279,0.357,0.395,0.752,8,40.2,0,8.85,0,30
Benjamin Sterritt,OF,Lakeland,JUCO: Division 2,16,40,11,13,1,1,1,9,0,0.325,0.426,0.475,0.901,0,0.0,0,0.0,0,0
Adamo Stornello,C,Crowder,JUCO: Division 1,16,37,17,10,1,0,1,7,0,0.27,0.449,0.378,0.827,0,0.0,0,0.0,0,0
Daniel Suarez,2B/SS,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Matthew Suarez,C/3B,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Joel Suraganan,IF,Marshalltown,JUCO: Division 1,40,135,15,35,6,0,2,14,0,0.259,0.315,0.348,0.663,0,0.0,0,0.0,0,0
Noah Takacs,RHP,Sacramento State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,9,18.2,0,4.82,0,17
Patrick Tangen,RHP,Lake Region State,JUCO: Division 2,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,24.1,2,8.14,0,27
Chris Tani,OF,Niagara County,JUCO: Division 3,19,52,22,19,6,1,0,19,9,0.365,0.492,0.519,1.011,0,0.0,0,0.0,0,0
Ryan Telenko,INF,Indian Hills,JUCO: Division 1,3,4,1,2,2,0,0,4,0,0.5,0.5,1.0,1.5,0,0.0,0,0.0,0,0
Justen Teshe,RHP,Williston State,JUCO: Division 2,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,3.0,0,9.0,0,3
Nicholas Thibodeau,C,Howard (TX),JUCO: Division 1,8,24,12,13,1,0,1,6,0,0.542,0.667,0.708,1.375,0,0.0,0,0.0,0,0
Nick Tremblay,OF,Crowder,JUCO: Division 1,2,1,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0,0
Matt Trulson,C,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Cole Tucker,IF,Erie,JUCO: Division 3,3,2,2,1,0,0,0,0,0,0.5,0.667,0.5,1.167,0,0.0,0,0.0,0,0
Chase Tucker,C,Salem University,NCAA: Division 2,6,10,2,1,0,0,0,1,0,0.1,0.4,0.1,0.5,0,,0,,0,0
Kellan Tulio,LHP,University of Louisville,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,2.1,0,15.43,0,1
Stefan Turino,OF,Three Rivers,JUCO: Division 1,34,115,35,36,4,1,3,14,14,0.313,0.41,0.443,0.853,0,0.0,0,0.0,0,0
Cesar Valero Sanchez,IF,Oregon State University,NCAA: Division 1,5,9,1,1,0,0,1,3,0,0.111,0.111,0.444,0.555,0,,0,,0,0
Mathieu Vallee,CF,Northeastern Oklahoma A&M,JUCO: Division 1,31,103,39,51,15,0,3,29,32,0.495,0.599,0.728,1.327,0,0.0,0,0.0,0,0
Alfonso Villalobos,IF,Chipola,JUCO: Division 1,42,133,24,36,6,0,5,32,5,0.271,0.331,0.429,0.76,0,0.0,0,0.0,0,0
Alex Vince,LHP,Mineral Area,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
John Vulcano,IF,Colby,JUCO: Division 1,31,111,36,46,7,3,11,33,3,0.414,0.5,0.829,1.329,0,0.0,0,0.0,0,0
Parker Wakelyn,RHP,Clarendon,JUCO: Division 1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,25.2,2,8.42,0,22
Josh Walker,OF,Sacramento State University,NCAA: Division 1,1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Dawson Walters,1B,Eastern Oklahoma State,JUCO: Division 1,8,13,4,4,1,1,0,4,0,0.308,0.4,0.538,0.938,0,0.0,0,0.0,0,0
Jonathan Walz,2B/RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Matt Ward,C,Niagara University,NCAA: Division 1,5,4,0,0,0,0,0,1,0,0.0,0.333,0.0,0.333,0,,0,,0,0
Logan Warkentin,OF/RHP,Williston State,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Michael Watson,RHP,St. Lawrence University,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,5,5.2,0,9.53,0,3
Cassidy Watt,C,Lassen College,California CC,4,5,2,2,1,0,0,1,0,0.4,0.333,0.6,0.933,0,0.0,0,0.0,0,0
Hayden Wesseling,RHP,Monroe CC,JUCO: Division 2,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,24.0,3,7.13,0,25
Ty Wevers,C,Cloud County,JUCO: Division 1,15,34,8,9,2,0,0,1,1,0.265,0.39,0.324,0.714,0,0.0,0,0.0,0,0
Evan Wilde,LHP/1B,Cloud County,JUCO: Division 1,14,4,1,1,0,0,0,0,0,0.25,0.4,0.25,0.65,11,50.1,4,5.01,0,62
Rayce Wilkinson,SS/2B,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
John Wilson,2B/SS,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Tyler Wilson,IF,Erie,JUCO: Division 3,12,23,2,8,1,0,0,4,0,0.348,0.4,0.391,0.791,0,0.0,0,0.0,0,0
Colin Windle,RHP,Hilbert College,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,3,3.2,0,2.45,0,3
Mason Wright,C,Erie,JUCO: Division 3,15,31,2,6,0,0,0,4,1,0.194,0.219,0.194,0.413,0,0.0,0,0.0,0,0
AJ Yamaguchi,RHP/1B,Colby,JUCO: Division 1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0,inf,0,0
Kodai Yaoita,OF,College of San Mateo,California CC,7,29,7,7,0,3,0,5,1,0.241,0.333,0.448,0.781,0,0.0,0,0.0,0,0
Ben Abram,RHP,University of Oklahoma,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,9,22.2,1,5.16,0,26
Kayontae Alarcon,IF,Oakland City University,NAIA,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Jordan Babcock,INF,Judson University,NAIA,34,0,18,21,4,0,4,19,0,0.194,0.323,0.343,0.666,0,,0,,0,0
Braden Babcock,LHP,Southern Illinois University at Carbondale,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,9.1,1,6.75,0,5
Kimani Bailey,RHP,Grambling State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,12,21.1,1,9.28,1,22
Ethan Balogh,1B/OF,Graceland University,NAIA,35,0,19,25,5,1,0,14,0,0.258,0.357,0.33,0.687,0,,0,,0,0
Brett Bantle,OF,Dickinson State University,NAIA,15,0,4,7,1,0,0,3,0,0.318,0.464,0.364,0.828,0,,0,,0,0
Carson Barker,1B,Genesee,JUCO: Division 3,19,59,14,23,4,1,6,22,1,0.39,0.429,0.797,1.226,0,0.0,0,0.0,0,0
PJ Bellemare,C,Benedictine University,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Brandon Billesberger,OF,Limestone University,NCAA: Division 2,6,3,2,1,0,1,0,0,0,0.333,0.5,1.0,1.5,0,,0,,0,0
Tyler Black,INF,Wright State University,NCAA: Division 1,28,98,33,35,5,1,7,29,5,0.357,0.496,0.643,1.139,0,,0,,0,0
Kyle Bloor,RHP,Colby,JUCO: Division 1,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,33.0,1,9.0,0,37
Kyle Blunt,RHP,Erie,JUCO: Division 3,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,6.1,0,12.79,1,7
Cody Bond,RHP,Three Rivers,JUCO: Division 1,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4.2,0,11.57,0,2
Jacob Bonzon,IF,Roanoke College,NCAA: Division 3,11,16,4,1,0,0,0,1,2,0.062,0.167,0.062,0.229,0,,0,,0,0
Tanner Boyle,UTL,Williston State,JUCO: Division 2,16,34,4,10,0,0,0,5,2,0.294,0.368,0.294,0.662,0,0.0,0,0.0,0,0
Jacob Brault,RHP,Pratt,JUCO: Division 1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,5.0,0,9.0,0,5
Mike Brisson,INF,Niagara University,NCAA: Division 1,17,37,4,9,4,0,2,7,3,0.243,0.282,0.514,0.796,0,,0,,0,0
Graham Brunner,LHP,Barton,JUCO: Division 1,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,44.0,5,3.89,0,47
Zach Cameron,RHP/3B,Niagara University,NCAA: Division 1,9,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Zach Cameron,RHP/3B,Niagara University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,8,21.2,2,1.66,3,20
Shayne Campbell,C,Southeastern,JUCO: Division 2,27,65,18,16,4,0,1,11,2,0.246,0.359,0.354,0.713,0,0.0,0,0.0,0,0
Ryan Capuano,RHP,Marshall University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,8,13.2,1,7.9,0,9
Kaiden Cardoso,1B/3B,Minot State University,NCAA: Division 2,26,78,28,18,4,1,3,13,8,0.231,0.406,0.423,0.829,0,,0,,0,0
Daniel Carinci,INF,Kansas State University,NCAA: Division 1,31,91,12,21,4,1,2,11,4,0.231,0.352,0.363,0.715,0,,0,,0,0
Connor Carr-Mathews,LHP,Cayuga,JUCO: Division 3,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,11.2,0,6.17,0,12
Jake Carroll,C,Pratt,JUCO: Division 1,32,106,24,31,8,1,6,23,9,0.292,0.35,0.557,0.907,0,0.0,0,0.0,0,0
Kyler Charchun,OF,Southwest Baptist University,NCAA: Division 2,11,19,6,2,1,0,0,2,0,0.105,0.433,0.158,0.591,0,,0,,0,0
Evan Chenier,RHP,Virginia Commonwealth University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,12,29.2,3,3.03,4,29
Fynn Chester,RHP,Salt Lake,JUCO: Division 1,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,54.2,7,3.95,0,57
Michael Clapperton,INF,"University of Texas, Permian Basin",NCAA: Division 2,32,119,37,32,4,1,0,11,12,0.269,0.395,0.319,0.714,0,,0,,0,0
Brandon Clarke,RHP,Indiana University Kokomo,NAIA,9,0,0,0,0,0,0,0,0,0.0,,0.0,,0,,0,,0,0
Joel Connors,C/RHP,Lakeland,JUCO: Division 2,16,41,11,10,2,0,4,12,0,0.244,0.392,0.585,0.977,1,4.0,0,4.5,0,6
Christian Coombes,LHP,Saint Peter's University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,4,5.0,0,10.8,0,6
Antonio Cruz,OF,Rice University,NCAA: Division 1,14,41,7,11,2,1,1,8,0,0.268,0.375,0.439,0.814,0,,0,,0,0
Brandon Deans,RHP,Oakland University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,9,37.2,3,5.73,0,41
Tate Dearing,RHP/1B,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Cameron Deasy,RHP,Minot State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,1,0.2,0,13.5,0,1
Bailey Dempsey,2B/SS,Jefferson (NY),JUCO: Division 3,11,19,1,0,0,0,0,0,1,0.0,0.136,0.0,0.136,0,0.0,0,0.0,0,0
Hunter Dent,C,Mount Vernon Nazarene University,NAIA,8,0,1,3,1,0,0,3,0,0.15,0.32,0.2,0.52,0,,0,,0,0
Owen Diodati,OF,University of Alabama,NCAA: Division 1,39,136,27,36,2,1,10,36,1,0.265,0.365,0.515,0.88,0,,0,,0,0
Ryan Dos Santos,UTL,Southwestern Oklahoma State University,NCAA: Division 2,29,101,19,33,8,1,0,16,4,0.327,0.433,0.426,0.859,0,,0,,0,0
Thomas Drouin,OF,Baruch College,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,0,,0,,0,0
Sebastien Dubois,IF,St. Norbert College,NCAA: Division 3,16,53,9,14,3,0,1,11,0,0.264,0.365,0.377,0.742,0,,0,,0,0
Cameron Dunn,RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Declan Dutton,RHP,Yavapai,JUCO: Division 1,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,32.1,0,3.06,0,32
Jared Eifler,RHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Ty Enns,INF,Marian University,NCAA: Division 3,3,4,0,0,0,0,0,0,0,0.0,0.2,0.0,0.2,0,,0,,0,0
Jacob Ervin,OF,Northeastern Oklahoma A&M,JUCO: Division 1,33,119,30,34,7,1,7,25,5,0.286,0.351,0.538,0.889,0,0.0,0,0.0,0,0
Dirk Eymundson,C,University of Jamestown,NAIA,32,0,2,12,3,0,1,6,0,0.176,0.309,0.265,0.574,0,,0,,0,0
Matt Fabian,IF,Ithaca College,NCAA: Division 3,19,58,13,12,1,1,0,6,3,0.207,0.378,0.259,0.637,0,,0,,0,0
Samuel Fortier,OF,Indian Hills,JUCO: Division 1,35,112,30,34,5,3,1,31,13,0.304,0.423,0.429,0.852,0,0.0,0,0.0,0,0
Ethan Francis,RHP,Northwestern State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,5,5.0,0,7.2,0,5
Zach Gagnon,RHP,Tarleton State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,13,26.0,0,7.27,0,14
Nolan Gallo,OF,Niagara County,JUCO: Division 3,8,10,3,2,0,0,0,0,2,0.2,0.429,0.2,0.629,0,0.0,0,0.0,0,0
Noah Geekie,OF/LHP,Emporia State University,NCAA: Division 2,33,115,21,29,5,1,3,18,5,0.252,0.29,0.391,0.681,0,,0,,0,0
Noah Geekie,OF/LHP,Emporia State University,NCAA: Division 2,0,0,0,0,0,0,0,0,0,,,,,1,,0,,0,0
Louis Gendron,C/UTL,The College of Saint Rose,NCAA: Division 2,3,5,0,2,0,0,0,2,0,0.4,0.4,0.4,0.8,0,,0,,0,0
Daniel Gernon,OF,Lower Columbia,NW Athletic Conference,6,21,7,8,0,0,3,8,2,0.381,0.435,0.81,1.245,0,0.0,0,0.0,0,0
Zach Gervais,OF,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Harley Gollert,LHP,Austin Peay State University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,49.1,3,4.01,1,54
Nick Graham,RHP,Clarendon,JUCO: Division 1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,11,16.1,1,8.82,1,32
Brett Graham,C/INF,Salem University,NCAA: Division 2,3,6,2,3,2,0,0,3,0,0.5,0.7,0.833,1.533,0,,0,,0,0
