Name,Position,School,Division,Games Played (G),At Bats (AB),Runs Scored (R),Hits (H),Doubles (2B),Triples (3B),Home Runs (HR),Runs Batted In (RBI),Stolen Bases (SB),Batting Average (AVG),On-Base Percentage (OBP),Slugging Percentage (SLG),On-Base plus Slugging (OPS),Appearances (G),Innings Pitched (IP),Wins (W),Earned Run Average (ERA),Saves (SV),Strikeouts (K)
Jake Bucovetsky,OF/1B,Highland (KS),JUCO: Division 1,28,76,10,18,3,0,2,13,7,0.237,0.385,0.355,0.74,0,0.0,0,0.0,0,0
"Homer Bush, Jr.",OF,Grand Canyon University,NCAA: Division 1,3,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Jean-Luc Bussieres,C,Barton,JUCO: Division 1,4,3,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0,0.0,0,0.0,0,0
Jamie Cabral,OF,Sussex County,JUCO: Division 2,12,34,10,10,2,1,2,10,3,0.294,0.405,0.588,0.993,0,0.0,0,0.0,0,0
Williams Camacho-Soto,3B/OF,Cloud County,JUCO: Division 1,39,125,30,43,11,1,3,39,1,0.344,0.429,0.52,0.949,0,0.0,0,0.0,0,0
Liam Carey,RHP,Muskingum University,NCAA: Division 3,0,0,0,0,0,0,0,0,0,,,,,1,1.1,0,6.75,0,1
Justin Carinci,INF/OF,Highland (KS),JUCO: Division 1,27,92,29,35,3,0,1,19,18,0.38,0.445,0.446,0.891,0,0.0,0,0.0,0,0
Noah Case,3B,Murray State,JUCO: Division 2,23,51,6,16,3,0,2,15,2,0.314,0.383,0.49,0.873,0,0.0,0,0.0,0,0
Connor Caskenette,C/OF,Cochise,JUCO: Division 1,40,126,35,43,7,2,4,22,6,0.341,0.462,0.524,0.986,0,0.0,0,0.0,0,0
Ronnel Castro,INF,Frontier,JUCO: Division 1,8,8,4,2,0,0,0,2,1,0.25,0.571,0.25,0.821,0,0.0,0,0.0,0,0
Eric Chartier,INF,University of Charleston,NCAA: Division 2,11,22,3,7,0,0,0,1,2,0.318,0.5,0.318,0.818,0,,0,,0,0
Felix Chenier-Rondeau,OF,Cowley,JUCO: Division 1,33,88,36,37,6,4,6,40,16,0.42,0.536,0.784,1.32,0,0.0,0,0.0,0,0
Dionysius Chialtas,C/1B,Northeastern Oklahoma A&M,JUCO: Division 1,31,84,23,30,4,1,5,29,3,0.357,0.486,0.607,1.093,0,0.0,0,0.0,0,0
Josh Cleggett,C,Arizona Western,JUCO: Division 1,3,1,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0,0
Tanner Clyne,,Dakota,JUCO: Division 2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Bailey Coish,OF,Frank Phillips,JUCO: Division 1,14,28,7,7,1,0,1,2,1,0.25,0.364,0.393,0.757,0,0.0,0,0.0,0,0
David Coleman,OF,High Point University,NCAA: Division 1,4,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,,0,,0,0
Khalid Collymore,OF,University of Montevallo,NCAA: Division 2,28,81,22,22,2,0,0,4,6,0.272,0.438,0.296,0.734,0,,0,,0,0
Connor Cory,P,Mayville State University,NAIA,0,0,0,0,0,0,0,0,0,,,,,5,6.2,0,12.15,0,9
Cole Cote,C,Erie,JUCO: Division 3,18,46,10,17,6,1,0,9,0,0.37,0.431,0.543,0.974,0,0.0,0,0.0,0,0
Jayden Cull,UTL,Lyon College,NAIA,2,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0,,0,,0,0
Caelan Cunningham,OF,Lourdes University,NAIA,3,0,0,1,0,0,0,0,0,0.2,0.2,0.2,0.4,0,,0,,0,0
Brayden Cust,RHP/OF,Colby,JUCO: Division 1,41,160,44,57,14,4,5,29,12,0.356,0.429,0.588,1.017,0,0.0,0,0.0,0,0
Bret Czarkowski,OF,Skagit Valley,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Alan Dai,UT,Amherst College,NCAA: Division 3,9,27,5,8,1,1,0,5,2,0.296,0.424,0.407,0.831,0,,0,,0,0
Dustin Davidson,LHP,Douglas,NW Athletic Conference,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Blake Davidson,RHP,McCook,JUCO: Division 1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,17.0,0,10.06,0,11
Cedric De Grandpre,RHP,Chipola,JUCO: Division 1,18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18,37.1,2,1.69,3,48
Mitchell Dennis,RHP,University of Jamestown,NAIA,0,0,0,0,0,0,0,0,0,,,,,3,9.0,2,7.0,0,12
Russell Derbyshire,RHP,Mineral Area,JUCO: Division 1,7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7,27.2,1,8.46,0,27
Carlin Dick,OF,Canisius College,NCAA: Division 1,10,23,5,8,4,0,0,3,1,0.348,0.429,0.522,0.951,0,,0,,0,0
Kurt Dillon,RHP,Galveston,JUCO: Division 1,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,50.2,1,3.73,0,60
Matthew Dobberthien,RHP/OF,Colby,JUCO: Division 1,19,11,3,1,1,0,0,3,0,0.091,0.231,0.182,0.413,14,21.2,0,9.97,2,12
David Draayers,IF,Mount Mercy University,NAIA,16,0,7,6,1,0,0,5,0,0.207,0.2,0.241,0.441,0,,0,,0,0
Matt Duffy,RHP,Canisius College,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,2,3.2,0,14.73,0,5
Nyles Duren,INF,Ohio Valley University,NCAA: Division 2,24,80,9,16,2,0,1,7,1,0.2,0.286,0.263,0.549,0,,0,,0,0
Connor Dykstra,C,Galveston,JUCO: Division 1,33,79,18,18,3,0,0,5,3,0.228,0.41,0.266,0.676,0,0.0,0,0.0,0,0
Lucas Earle,LHP,Allan Hancock College,California CC,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,6.2,1,1.35,1,4
Dylan Edmands,IF,Arizona Western,JUCO: Division 1,34,91,27,30,6,2,3,25,6,0.33,0.5,0.538,1.038,0,0.0,0,0.0,0,0
Campbell Ellis,LHP,Virginia Commonwealth University,NCAA: Division 1,0,0,0,0,0,0,0,0,0,,,,,10,17.1,3,2.6,1,14
Blake Faulds,RHP,Erie,JUCO: Division 3,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1.1,0,0.0,0,1
Nicholas Fazzari,C,Parkland,JUCO: Division 2,26,77,16,23,5,1,2,16,1,0.299,0.4,0.468,0.868,0,0.0,0,0.0,0,0
Anderson Fenton,LHP,Marshalltown,JUCO: Division 1,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0.0,0,inf,0,0
Matt Ferris,C,Niagara County,JUCO: Division 3,16,39,8,12,2,2,1,13,0,0.308,0.386,0.538,0.924,0,0.0,0,0.0,0,0
Josh Fluet,RHP,Allen County,JUCO: Division 1,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,18.2,1,5.3,0,24
Travis Frank,LHP,McCook,JUCO: Division 1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Bryce Franklin,1B,Williston State,JUCO: Division 2,4,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0
Jackson Fraser,RHP,LSU Eunice,JUCO: Division 2,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,4.2,1,9.64,0,5
