title,division,conference,state,location,link,roster_link
Colorado Mesa University,D2,Rocky Mountain Athletic Conference,CO,"Grand Junction, CO",https://cmumavericks.com/sports/baseball,https://cmumavericks.com/sports/baseball/roster
Colorado School of Mines,D2,Rocky Mountain Athletic Conference,CO,"Golden, CO",https://minesathletics.com/sports/baseball,https://minesathletics.com/sports/baseball/roster
Colorado State University Pueblo,D2,Rocky Mountain Athletic Conference,CO,"Pueblo, CO",https://gothunderwolves.com/sports/baseball,https://gothunderwolves.com/sports/baseball/roster
Columbus State University,D2,Peach Belt Conference,GA,"Columbus, GA",https://csucougars.com/sports/baseball,https://csucougars.com/sports/baseball/roster
Concord University,D2,Mountain East Conference,WV,"Athens, WV",https://cumountainlions.com/sports/baseball,https://cumountainlions.com/sports/baseball/roster
Concordia College,D2,Central Atlantic Collegiate Conference,NY,"Bronxville, NY",https://www.concordiaclippers.com/sports/bsb/index,https://www.concordiaclippers.com/sports/bsb/2020-21/roster
Concordia University Irvine,D2,Pacific West Conference,CA,"Irvine, CA",https://cuieagles.com/sports/baseball,https://cuieagles.com/sports/baseball/roster
"Concordia University, St. Paul",D2,Northern Sun Intercollegiate Conference,MN,"St. Paul, MN",https://cspbears.com/sports/baseball,https://cspbears.com/sports/baseball/roster
D'Youville College,D2,East Coast Conference,NY,"Buffalo, NY",http://athletics.dyc.edu/sports/bsb/index,http://athletics.dyc.edu/sports/bsb/2020-21/roster
Davenport University,D2,Great Lakes Intercollegiate Athletic Conference,MI,"Grand Rapids, MI",https://dupanthers.com/sports/baseball,https://dupanthers.com/sports/baseball/roster
Davis and Elkins College,D2,Mountain East Conference,WV,"Elkins, WV",https://senatornation.com/sports/baseball,https://senatornation.com/sports/baseball/roster
Delta State University,D2,Gulf South Conference,MS,"Cleveland, MS",https://gostatesmen.com/sports/baseball,https://gostatesmen.com/sports/baseball/roster
Dominican College,D2,Central Atlantic Collegiate Conference,NY,"Orangeburg, NY",https://www.chargerathletics.com/sports/bsb/index,https://www.chargerathletics.com/sports/bsb/2020-21/roster
Drury University,D2,Great Lakes Valley Conference,MO,"Springfield, MO",https://drurypanthers.com/sports/baseball,https://drurypanthers.com/sports/baseball/roster
East Central University,D2,Great American Conference,OK,"Ada, OK",https://ecutigers.com/sports/baseball,https://ecutigers.com/sports/baseball/roster
East Stroudsburg University of Pennsylvania,D2,Pennsylvania State Athletic Conference,PA,"East Stroudsburg, PA",https://esuwarriors.com/sports/baseball,https://esuwarriors.com/sports/baseball/roster
Eastern New Mexico University,D2,Lone Star Conference,NM,"Portales, NM",https://goeasternathletics.com/sports/baseball,https://goeasternathletics.com/sports/baseball/roster
Eckerd College,D2,Sunshine State Conference,FL,"St. Petersburg, FL",https://eckerdtritons.com/sports/baseball,https://eckerdtritons.com/sports/baseball/roster
Embry-Riddle Aeronautical University,D2,Sunshine State Conference,FL,"Daytona Beach, FL",https://erauathletics.com/sports/baseball,https://erauathletics.com/sports/baseball/roster
Emmanuel College,D2,Conference Carolinas,GA,"Franklin Springs, GA",https://goeclions.com/sports/bsb/index,https://goeclions.com/sports/baseball/roster
Emporia State University,D2,Mid-America Intercollegiate Athletics Association,KS,"Emporia, KS",https://esuhornets.com/sports/baseball,https://esuhornets.com/sports/baseball/roster
Erskine College,D2,Conference Carolinas,SC,"Due West, SC",https://erskinesports.com/sports/baseball,https://erskinesports.com/sports/baseball/roster
Fairmont State University,D2,Mountain East Conference,WV,"Fairmont, WV",https://fightingfalcons.com/sports/baseball,https://fightingfalcons.com/sports/baseball/roster
Felician University,D2,Central Atlantic Collegiate Conference,NJ,"Lodi, NJ",https://www.felicianathletics.com/sports/bsb/index,https://www.felicianathletics.com/sports/bsb/2020-21/roster
Flagler College,D2,Peach Belt Conference,FL,"St. Augustine, FL",https://flaglerathletics.com/sports/baseball,https://flaglerathletics.com/sports/baseball/roster
Florida Institute of Technology,D2,Sunshine State Conference,FL,"Melbourne, FL",https://floridatechsports.com/sports/baseball,https://floridatechsports.com/sports/baseball/roster
Florida Southern College,D2,Sunshine State Conference,FL,"Lakeland, FL",https://fscmocs.com/sports/bsb/index,https://fscmocs.com/sports/baseball/roster
Fort Hays State University,D2,Mid-America Intercollegiate Athletics Association,KS,"Hays, KS",https://fhsuathletics.com/sports/baseball,https://fhsuathletics.com/sports/baseball/roster
Francis Marion University,D2,Peach Belt Conference,SC,"Florence, SC",https://www.fmupatriots.com/sports/bsb/index,https://fmupatriots.com/sports/baseball/roster
Franklin Pierce University,D2,Northeast-10 Conference,NH,"Rindge, NH",https://www.fpuravens.com/sports/bsb/index,https://www.fpuravens.com/sports/bsb/2020-21/roster
Fresno Pacific University,D2,Pacific West Conference,CA,"Fresno, CA",https://www.fpuathletics.com/sports/baseball,https://www.fpuathletics.com/sports/baseball/roster
Frostburg State University,D2,Mountain East Conference,MD,"Frostburg, MD",https://frostburgsports.com/sports/baseball,https://frostburgsports.com/sports/baseball/roster
Gannon University,D2,Pennsylvania State Athletic Conference,PA,"Erie, PA",https://gannonsports.com/sports/baseball,https://gannonsports.com/sports/baseball/roster
Georgia College,D2,Peach Belt Conference,GA,"Milledgeville, GA",https://www.gcbobcats.com/sports/bsb/index,https://www.gcbobcats.com/sports/bsb/2020-21/roster
Georgia Southwestern State University,D2,Peach Belt Conference,GA,"Americus, GA",https://www.gswcanes.com/sports/bsb/index,https://www.gswcanes.com/sports/bsb/2020-21/roster
Glenville State College,D2,Mountain East Conference,WV,"Glenville, WV",https://gscpioneers.com/sports/baseball,https://gscpioneers.com/sports/baseball/roster
Goldey-Beacom College,D2,Central Atlantic Collegiate Conference,DE,"Wilmington, DE",https://www.gbcathletics.com/index.aspx?path=baseball,https://www.gbcathletics.com/sports/baseball/roster
Grand Valley State University,D2,Great Lakes Intercollegiate Athletic Conference,MI,"Allendale, MI",https://gvsulakers.com/sports/baseball,https://gvsulakers.com/sports/baseball/roster
Harding University,D2,Great American Conference,AR,"Searcy, AR",https://hardingsports.com/sports/baseball,https://hardingsports.com/sports/baseball/roster
Hawaii Pacific University,D2,Pacific West Conference,HI,"Honolulu, HI",https://hpusharks.com/index.aspx?path=baseball,https://hpusharks.com/roster.aspx?path=baseball
Henderson State University,D2,Great American Conference,AR,"Arkadelphia, AR",https://hsusports.com/sports/baseball,https://hsusports.com/sports/baseball/roster
Hillsdale College,D2,Great Midwest Athletic Conference,MI,"Hillsdale, MI",https://www.hillsdalechargers.com/sports/bsb/index,https://www.hillsdalechargers.com/sports/bsb/2020-21/roster
Holy Names University,D2,Pacific West Conference,CA,"Oakland, CA",https://hnuhawks.com/sports/baseball,https://hnuhawks.com/sports/baseball/roster
Indiana University of Pennsylvania,D2,Pennsylvania State Athletic Conference,PA,"Indiana, PA",https://iupathletics.com/sports/baseball,https://iupathletics.com/sports/baseball/roster
Jefferson University ,D2,Central Atlantic Collegiate Conference,PA,"Philadelphia, PA",http://www.jeffersonrams.com/sports/bsb/index,http://www.jeffersonrams.com/sports/baseball/roster
Kentucky State University,D2,Southern Intercollegiate Athletic Conference,KY,"Frankfort, KY",https://ksuthorobreds.com/sports/baseball,https://ksuthorobreds.com/sports/baseball/roster
Kentucky Wesleyan College,D2,Great Midwest Athletic Conference,KY,"Owensboro, KY",https://kwcpanthers.com/sports/baseball,https://kwcpanthers.com/sports/baseball/roster
King University,D2,Conference Carolinas,TN,"Bristol, TN",https://www.kingtornado.com/sports/bsb/index,https://www.kingtornado.com/sports/baseball/roster
Kutztown University of Pennsylvania,D2,Pennsylvania State Athletic Conference,PA,"Kutztown, PA",https://kubears.com/index.aspx?path=baseball,https://kubears.com/sports/baseball/roster
Lake Erie College,D2,Great Midwest Athletic Conference,OH,"Painesville, OH",https://www.lakeeriestorm.com/sports/bsb/index,https://www.lakeeriestorm.com/sports/bsb/2020-21/roster
Lander University,D2,Peach Belt Conference,SC,"Greenwood, SC",https://landerbearcats.com/sports/bsb/index,https://landerbearcats.com/sports/bsb/2020-21/roster
Lane College,D2,Southern Intercollegiate Athletic Conference,TN,"Jackson, TN",https://golcdragons.com/sports/baseball,https://golcdragons.com/sports/baseball/roster
Le Moyne College,D2,Northeast-10 Conference,NY,"Syracuse, NY",https://lemoynedolphins.com/sports/baseball,https://lemoynedolphins.com/sports/baseball/roster
LeMoyne-Owen College,D2,Southern Intercollegiate Athletic Conference,TN,"Memphis, TN",https://athletics.loc.edu/sports/baseball,https://athletics.loc.edu/sports/baseball/roster
Lee University,D2,Gulf South Conference,TN,"Cleveland, TN",https://leeuflames.com/sports/baseball,https://leeuflames.com/sports/baseball/roster
Lenoir-Rhyne University,D2,South Atlantic Conference,NC,"Hickory, NC",https://lrbears.com/sports/baseball,https://lrbears.com/sports/baseball/roster
Lewis University,D2,Great Lakes Valley Conference,IL,"Romeoville, IL",https://lewisflyers.com/sports/baseball,https://lewisflyers.com/sports/baseball/roster
Limestone University,D2,South Atlantic Conference,SC,"Gaffney, SC",https://golimestonesaints.com/sports/baseball,https://golimestonesaints.com/sports/baseball/roster
Lincoln Memorial University,D2,South Atlantic Conference,TN,"Harrogate, TN",https://lmurailsplitters.com/sports/baseball,https://lmurailsplitters.com/sports/baseball/roster
Lindenwood University,D2,Great Lakes Valley Conference,MO,"St. Charles, MO",https://lindenwoodlions.com/sports/baseball,https://lindenwoodlions.com/sports/baseball/roster
Lock Haven University of Pennsylvania,D2,Pennsylvania State Athletic Conference,PA,"Lock Haven, PA",https://www.golhu.com/sports/baseball,https://www.golhu.com/sports/baseball/roster
Lubbock Christian University,D2,Lone Star Conference,TX,"Lubbock, TX",https://lcuchaps.com/index.aspx?path=baseball,https://lcuchaps.com/roster.aspx?path=baseball
Lynn University,D2,Sunshine State Conference,FL,"Boca Raton, FL",https://lynnfightingknights.com/sports/bsb/index,https://lynnfightingknights.com/sports/bsb/2020-21/roster
Malone University,D2,Great Midwest Athletic Conference,OH,"Canton, OH",https://malonepioneers.com/index.aspx?path=baseball,https://malonepioneers.com/roster.aspx?path=baseball
Mansfield University of Pennsylvania,D2,Pennsylvania State Athletic Conference,PA,"Mansfield, PA",https://gomounties.com/index.aspx?path=baseball,https://gomounties.com/sports/baseball/roster
Mars Hill University,D2,South Atlantic Conference,NC,"Mars Hill, NC",https://www.marshilllions.com/sports/bsb/index,https://www.marshilllions.com/sports/bsb/2020-21/roster
Maryville University,D2,Great Lakes Valley Conference,MO,"St. Louis, MO",https://maryvillesaints.com/index.aspx?path=baseball,https://maryvillesaints.com/sports/baseball/roster
McKendree University,D2,Great Lakes Valley Conference,IL,"Lebanon, IL",https://mckbearcats.com/index.aspx?path=baseball,https://mckbearcats.com/roster.aspx?path=baseball
Mercy College,D2,East Coast Conference,NY,"Dobbs Ferry, NY",https://mercyathletics.com/index.aspx?path=baseball,https://mercyathletics.com/sports/baseball/roster
Mercyhurst University,D2,Pennsylvania State Athletic Conference,PA,"Erie, PA",https://hurstathletics.com/index.aspx?path=baseball,https://hurstathletics.com/sports/baseball/roster
Metropolitan State University of Denver,D2,Rocky Mountain Athletic Conference,CO,"Denver, CO",https://roadrunnersathletics.com/index.aspx?path=baseball,https://roadrunnersathletics.com/sports/baseball/roster
Miles College,D2,Southern Intercollegiate Athletic Conference,AL,"Fairfield, AL",https://milesgoldenbears.com/index.aspx?path=baseball,https://milesgoldenbears.com/sports/baseball/roster
Millersville University of Pennsylvania,D2,Pennsylvania State Athletic Conference,PA,"Millersville, PA",https://millersvilleathletics.com/index.aspx?path=baseball,https://millersvilleathletics.com/sports/baseball/roster
"Minnesota State University, Mankato",D2,Northern Sun Intercollegiate Conference,MN,"Mankato, MN",https://msumavericks.com/index.aspx?path=baseball,https://msumavericks.com/sports/baseball/roster
Minot State University,D2,Northern Sun Intercollegiate Conference,ND,"Minot, ND",https://msubeavers.com/index.aspx?path=baseball,https://msubeavers.com/sports/baseball/roster
Mississippi College,D2,Gulf South Conference,MS,"Clinton, MS",https://www.gochoctaws.com/index.aspx?path=baseball,https://www.gochoctaws.com/sports/baseball/roster
Missouri Southern State University,D2,Mid-America Intercollegiate Athletics Association,MO,"Joplin, MO",https://mssulions.com/index.aspx?path=baseball,https://mssulions.com/sports/baseball/roster
Missouri University of Science and Technology,D2,Great Lakes Valley Conference,MO,"Rolla, MO",https://minerathletics.com/index.aspx?path=baseball,https://minerathletics.com/sports/baseball/roster
Missouri Western State University,D2,Mid-America Intercollegiate Athletics Association,MO,"St. Joseph, MO",https://gogriffons.com/index.aspx?path=baseball,https://gogriffons.com/sports/baseball/roster
Molloy College,D2,East Coast Conference,NY,"Rockville Centre, NY",https://molloylions.com/index.aspx?path=baseball,https://molloylions.com/sports/baseball/roster
Montana State University Billings,D2,Great Northwest Athletic Conference,MT,"Billings, MT",https://msubsports.com/index.aspx?path=baseball,https://msubsports.com/sports/baseball/roster
Morehouse College,D2,Southern Intercollegiate Athletic Conference,GA,"Atlanta, GA",https://morehouseathletics.com/index.aspx?path=baseball,https://morehouseathletics.com/sports/baseball/roster
New Mexico Highlands University,D2,Rocky Mountain Athletic Conference,NM,"Las Vegas, NM",https://nmhuathletics.com/sports/baseball,https://nmhuathletics.com/sports/baseball/roster
Newberry College,D2,South Atlantic Conference,SC,"Newberry, SC",https://newberrywolves.com/sports/baseball,https://newberrywolves.com/sports/baseball/roster
Newman University,D2,Mid-America Intercollegiate Athletics Association,KS,"Wichita, KS",https://newmanjets.com/sports/baseball,https://newmanjets.com/sports/baseball/roster
North Greenville University,D2,Conference Carolinas,SC,"Tigerville, SC",http://www.nguathletics.com/baseball/,http://www.nguathletics.com/sports/baseball/roster
Northeastern State University,D2,Mid-America Intercollegiate Athletics Association,OK,"Tahlequah, OK",https://goriverhawksgo.com/sports/baseball,https://goriverhawksgo.com/sports/baseball/roster
Northern State University,D2,Northern Sun Intercollegiate Conference,SD,"Aberdeen, SD",https://nsuwolves.com/sports/baseball,https://nsuwolves.com/sports/baseball/roster
Northwest Missouri State University,D2,Mid-America Intercollegiate Athletics Association,MO,"Maryville, MO",https://bearcatsports.com/index.aspx?path=baseball,https://bearcatsports.com/sports/baseball/roster
Northwest Nazarene University,D2,Great Northwest Athletic Conference,ID,"Nampa, ID",https://nnusports.com/sports/baseball,https://nnusports.com/sports/baseball/roster
Northwestern Oklahoma State University,D2,Great American Conference,OK,"Alva, OK",https://riderangersride.com/sports/baseball,https://riderangersride.com/sports/baseball/roster
Northwood University,D2,Great Lakes Intercollegiate Athletic Conference,MI,"Midland, MI",https://www.gonorthwood.com/sports/bsb/index,https://www.gonorthwood.com/sports/bsb/2020-21/roster
Notre Dame College,D2,Mountain East Conference,OH,"South Euclid, OH",https://notredamefalcons.com/sports/baseball,https://notredamefalcons.com/sports/baseball/roster
Nova Southeastern University,D2,Sunshine State Conference,FL,Fort Lauderdale,https://nsusharks.com/sports/baseball,https://nsusharks.com/sports/baseball/roster
Nyack College,D2,Central Atlantic Collegiate Conference,NY,"Nyack, NY",https://athletics.nyack.edu/sports/bsb/index,https://athletics.nyack.edu/sports/bsb/2020-21/roster
Ohio Dominican University,D2,Great Midwest Athletic Conference,OH,"Columbus, OH",https://www.ohiodominicanpanthers.com/sports/bsb/index,https://www.ohiodominicanpanthers.com/sports/bsb/2020-21/roster
Ohio Valley University,D2,Great Midwest Athletic Conference,WV,"Vienna, WV",https://fightingscots.ovu.edu/schedule.aspx?path=baseball,https://fightingscots.ovu.edu/sports/baseball/roster
Oklahoma Baptist University,D2,Great American Conference,OK,"Shawnee, OK",https://obubison.com/sports/baseball,https://obubison.com/sports/baseball/roster
Oklahoma Christian University,D2,Lone Star Conference,OK,"Edmond, OK",https://oceagles.com/index.aspx?path=baseball,https://oceagles.com/sports/baseball/roster
Ouachita Baptist University,D2,Great American Conference,AR,"Arkadelphia, AR",https://obutigers.com/sports/baseball,https://obutigers.com/sports/baseball/roster
Pace University,D2,Northeast-10 Conference,NY,"New York, NY",https://paceuathletics.com/sports/baseball,https://paceuathletics.com/sports/baseball/roster
Paine College,D2,Southern Intercollegiate Athletic Conference,GA,"Augusta, GA",https://paineathletics.com/sports/baseball,https://paineathletics.com/sports/baseball/roster
Palm Beach Atlantic University,D2,Sunshine State Conference,FL,"Palm Beach, FL",https://pbasailfish.com/sports/baseball,https://pbasailfish.com/sports/baseball/roster
Pittsburg State University,D2,Mid-America Intercollegiate Athletics Association,KS,"Pittsburgh, KS",https://pittstategorillas.com/index.aspx?path=baseball,https://pittstategorillas.com/sports/baseball/roster
Point Loma Nazarene University,D2,Pacific West Conference,CA,"San Diego, CA",https://plnusealions.com/sports/baseball,https://plnusealions.com/sports/baseball/roster
Post University,D2,Central Atlantic Collegiate Conference,CT,"Waterbury, CT",https://posteagles.com/sports/baseball,https://posteagles.com/sports/baseball/roster
Purdue University Northwest,D2,Great Lakes Intercollegiate Athletic Conference,IN,"Westville, IN",https://pnwathletics.com/sports/baseball,https://pnwathletics.com/sports/baseball/roster
Queens College,D2,East Coast Conference,NY,"Flushing, NY",https://queensknights.com/sports/baseball,https://queensknights.com/sports/baseball/roster
Queens University of Charlotte,D2,South Atlantic Conference,NC,"Charlotte, NC",https://queensathletics.com/sports/baseball,https://queensathletics.com/sports/baseball/roster
Quincy University,D2,Great Lakes Valley Conference,IL,"Quincy, IL",https://quhawks.com/sports/baseball,https://quhawks.com/sports/baseball/roster
Regis University,D2,Rocky Mountain Athletic Conference,CO,"Denver, CO",https://regisrangers.com/index.aspx?path=baseball,https://regisrangers.com/sports/baseball/roster
Rockhurst University,D2,Great Lakes Valley Conference,MO,"Kansas City, MO",https://rockhursthawks.com/sports/baseball,https://rockhursthawks.com/sports/baseball/roster
Rogers State University,D2,Mid-America Intercollegiate Athletics Association,OK,"Claremore, OK",https://rsuhillcats.com/sports/baseball,https://rsuhillcats.com/sports/baseball/roster
Rollins College,D2,Sunshine State Conference,FL,"Winter Park, FL",https://www.rollinssports.com/sports/bsb/index,https://rollinssports.com/sports/baseball/roster
Saginaw Valley State University,D2,Great Lakes Intercollegiate Athletic Conference,MI,"Saginaw County, MI",https://www.svsucardinals.com/sports/bsb/index,https://www.svsucardinals.com/sports/bsb/2020-21/roster
Saint Anselm College,D2,Northeast-10 Conference,NH,"Manchester, NH",https://www.saintanselmhawks.com/sports/bsb/index,https://saintanselmhawks.com/sports/baseball/roster
Saint Leo University,D2,Sunshine State Conference,FL,"Saint Leo, FL",https://saintleolions.com/sports/baseball,https://saintleolions.com/sports/baseball/roster
Saint Martin's University,D2,Great Northwest Athletic Conference,WA,"Lacey, WA",https://smusaints.com/sports/baseball,https://smusaints.com/sports/baseball/roster
Saint Michael's College,D2,Northeast-10 Conference,VT,"Colchester, VT",https://www.smcathletics.com/sports/bsb/index,https://www.smcathletics.com/sports/bsb/2020-21/roster
Salem University,D2,Independent,WV,"Salem, WV",https://salemtigers.com/sports/baseball,https://salemtigers.com/sports/baseball/roster
San Francisco State University,D2,California Collegiate Athletic Association,CA,"San Francisco, CA",https://sfstategators.com/index.aspx?path=baseball,https://sfstategators.com/roster.aspx?path=baseball
Savannah State University,D2,Southern Intercollegiate Athletic Conference,GA,"Savannah, GA",https://ssuathletics.com/sports/baseball,https://ssuathletics.com/sports/baseball/roster
Seton Hill University,D2,Pennsylvania State Athletic Conference,PA,"Greensburg, PA",https://athletics.setonhill.edu/sports/baseball,https://athletics.setonhill.edu/sports/baseball/roster
Shepherd University,D2,Pennsylvania State Athletic Conference,WV,"Shepherdstown, WV",https://shepherdrams.com/sports/baseball,https://shepherdrams.com/sports/baseball/roster
Shippensburg University,D2,Pennsylvania State Athletic Conference,PA,"Shippensburg, PA",https://shipraiders.com/sports/baseball,https://shipraiders.com/sports/baseball/roster
Shorter University,D2,Gulf South Conference,GA,"Rome, GA",https://goshorterhawks.com/sports/baseball,https://goshorterhawks.com/sports/baseball/roster
Slippery Rock University,D2,Pennsylvania State Athletic Conference,PA,"Slippery Rock, PA",https://rockathletics.com/sports/baseball,https://rockathletics.com/sports/baseball/roster
Sonoma State University,D2,California Collegiate Athletic Association,CA,"Rohnert Park, CA",https://sonomaseawolves.com/index.aspx?path=baseball,https://sonomaseawolves.com/roster.aspx?path=baseball
Southeastern Oklahoma State University,D2,Great American Conference,OK,"Durant, OK",https://gosoutheastern.com/sports/baseball,https://gosoutheastern.com/sports/baseball/roster
Southern Arkansas University,D2,Great American Conference,AR,"Magnolia, AR",https://muleriderathletics.com/sports/baseball,https://muleriderathletics.com/sports/baseball/roster
Southern Connecticut State University,D2,Northeast-10 Conference,CT,"New Haven, CT",https://scsuowls.com/sports/baseball,https://scsuowls.com/sports/baseball/roster
Southern Nazarene University,D2,Great American Conference,OK,"Bethany, OK",https://snuathletics.com/sports/baseball,https://snuathletics.com/sports/baseball/roster
Southern New Hampshire University,D2,Northeast-10 Conference,NH,"Hooksett, NH",https://www.snhupenmen.com/sports/bsb/index,https://www.snhupenmen.com/sports/bsb/2020-21/roster
Southern Wesleyan University,D2,Conference Carolinas,SC,"Central, SC",https://swuathletics.com/sports/bsb/index,https://swuathletics.com/sports/baseball/roster
Southwest Baptist University,D2,Great Lakes Valley Conference,MO,"Bolivar, MO",https://www.sbubearcats.com/index.aspx?path=baseball,https://www.sbubearcats.com/sports/baseball/roster
Southwest Minnesota State University,D2,Northern Sun Intercollegiate Conference,MN,"Marshall, MN",https://smsumustangs.com/sports/baseball,https://smsumustangs.com/sports/baseball/roster
Southwestern Oklahoma State University,D2,Great American Conference,OK,"Weatherford, OK",https://swosuathletics.com/sports/baseball,https://swosuathletics.com/sports/baseball/roster
Spring Hill College,D2,Southern Intercollegiate Athletic Conference,AL,"Mobile, AL",https://shcbadgers.com/sports/baseball,https://shcbadgers.com/sports/baseball/roster
St. Cloud State University,D2,Northern Sun Intercollegiate Conference,MN,"St. Cloud, MN",https://scsuhuskies.com/sports/baseball,https://scsuhuskies.com/sports/baseball/roster
St. Edward's University,D2,Lone Star Conference,TX,"Austin, TX",https://gohilltoppers.com/sports/baseball,https://gohilltoppers.com/sports/baseball/roster
St. Mary's University,D2,Lone Star Conference,TX,"San Antonio, TX",https://rattlerathletics.com/sports/baseball,https://rattlerathletics.com/sports/baseball/roster
St. Thomas Aquinas College,D2,East Coast Conference,NY,"Sparkill, NY",https://www.stacathletics.com/sports/bsb/index,https://www.stacathletics.com/sports/bsb/2020-21/roster
Stonehill College,D2,Northeast-10 Conference,MA,"North Easton, MA",https://www.stonehillskyhawks.com/sports/bsb/index,https://www.stonehillskyhawks.com/sports/bsb/2020-21/roster
Texas A&M International University,D2,Lone Star Conference,TX,"Laredo, TX",https://godustdevils.com/sports/baseball,https://godustdevils.com/sports/baseball/roster
Texas A&M University-Kingsville,D2,Lone Star Conference,TX,"Kingsville, TX",https://javelinaathletics.com/sports/baseball,https://javelinaathletics.com/sports/baseball/roster
The College of Saint Rose,D2,Northeast-10 Conference,NY,"Albany, NY",https://gogoldenknights.com/sports/baseball,https://gogoldenknights.com/sports/baseball/roster
The Lincoln University,D2,East Coast Conference,PA,"Lincoln University, PA",https://lulions.com/sports/baseball,https://lulions.com/sports/baseball/roster
Tiffin University,D2,Great Midwest Athletic Conference,OH,"Tiffin, OH",https://www.gotiffindragons.com/sports/bsb/index,https://www.gotiffindragons.com/sports/bsb/2020-21/roster
Trevecca Nazarene University,D2,Great Midwest Athletic Conference,TN,"Nashville, TN",https://www.tnutrojans.com/sports/bsb/index,https://www.tnutrojans.com/sports/bsb/2020-21/roster
Truman State University,D2,Great Lakes Valley Conference,MO,"Kirksville, MO",https://trumanbulldogs.com/sports/baseball,https://trumanbulldogs.com/sports/baseball/roster
Tusculum College,D2,South Atlantic Conference,TN,"Tusculum, TN",https://www.tusculumpioneers.com/sports/bsb/index,https://www.tusculumpioneers.com/sports/bsb/2020-21/roster
Tuskegee University,D2,Southern Intercollegiate Athletic Conference,AL,"Tuskegee, AL",https://goldentigersports.com/sports/baseball,https://goldentigersports.com/sports/baseball/roster
Union University,D2,Gulf South Conference,TN,Jackson,https://uuathletics.com/sports/baseball,https://uuathletics.com/sports/baseball/roster
University of Alabama in Huntsville,D2,Gulf South Conference,AL,"Huntsville, AL",https://uahchargers.com/sports/baseball,https://uahchargers.com/sports/baseball/roster
"University of Arkansas, Fort Smith",D2,Lone Star Conference,AR,"Fort Smith, AR",https://uafortsmithlions.com/sports/baseball,https://uafortsmithlions.com/sports/baseball/roster
"University of Arkansas, Monticello",D2,Great American Conference,AR,"Monticello, AR",https://www.uamsports.com/sports/baseball,https://www.uamsports.com/sports/baseball/roster
University of Bridgeport,D2,East Coast Conference,CT,"Bridgeport, CT",https://www.ubknights.com/sports/bsb/index,https://www.ubknights.com/sports/bsb/2020-21/roster
University of Central Missouri,D2,Mid-America Intercollegiate Athletics Association,MO,"Warrensburg, MO",https://ucmathletics.com/sports/baseball,https://ucmathletics.com/sports/baseball/roster
University of Central Oklahoma,D2,Mid-America Intercollegiate Athletics Association,OK,"Edmond, OK",https://bronchosports.com/sports/baseball,https://bronchosports.com/sports/baseball/roster
University of Charleston,D2,Mountain East Conference,WV,"Charleston, WV",https://ucgoldeneagles.com/sports/baseball,https://ucgoldeneagles.com/sports/baseball/roster
University of Colorado Colorado Springs,D2,Rocky Mountain Athletic Conference,CO,"Colorado Springs, CO",https://gomountainlions.com/sports/baseball,https://gomountainlions.com/sports/baseball/roster
University of Findlay,D2,Great Midwest Athletic Conference,OH,"Findlay, OH",https://athletics.findlay.edu/sports/bsb/index,https://athletics.findlay.edu/sports/bsb/2020-21/roster
University of Hawaii at Hilo,D2,Pacific West Conference,HI,"Hilo, HI",https://hiloathletics.com/sports/baseball,https://hiloathletics.com/sports/baseball/roster
University of Illinois at Springfield,D2,Great Lakes Valley Conference,IL,"Springfield, IL",https://uisprairiestars.com/sports/baseball,https://uisprairiestars.com/sports/baseball/roster
University of Indianapolis,D2,Great Lakes Valley Conference,IN,"Indianapolis, IN",https://athletics.uindy.edu/sports/baseball,https://athletics.uindy.edu/sports/baseball/roster
University of Mary,D2,Northern Sun Intercollegiate Conference,ND,"Bismarck, ND",https://goumary.com/sports/baseball,https://goumary.com/sports/baseball/roster
University of Minnesota Duluth,D2,Northern Sun Intercollegiate Conference,MN,"Duluth, MN",https://umdbulldogs.com/index.aspx?path=baseball,https://umdbulldogs.com/sports/baseball/roster
"University of Minnesota, Crookston",D2,Northern Sun Intercollegiate Conference,MN,"Crookston, MN",https://goldeneaglesports.com/index.aspx?path=baseball,https://goldeneaglesports.com/sports/baseball/roster
University of Missouri-St. Louis,D2,Great Lakes Valley Conference,MO,"St. Louis, MO",https://www.umsltritons.com/index.aspx?path=baseball,https://www.umsltritons.com/sports/baseball/roster
University of Montevallo,D2,Gulf South Conference,AL,"Montevallo, AL",https://montevallofalcons.com/index.aspx?path=baseball,https://montevallofalcons.com/sports/baseball/roster
University of Mount Olive,D2,Conference Carolinas,NC,"Mount Olive, NC",https://www.umotrojans.com/sports/bsb/index,https://umotrojans.com/sports/baseball/roster
University of New Haven,D2,Northeast-10 Conference,CT,"New Haven, CT",https://newhavenchargers.com/sports/baseball,https://newhavenchargers.com/sports/baseball/roster
University of North Carolina at Pembroke,D2,Peach Belt Conference,NC,"Pembroke, NC",https://uncpbraves.com/sports/baseball,https://uncpbraves.com/sports/baseball/roster
University of North Georgia,D2,Peach Belt Conference,GA,"Dahlonega, GA",https://ungathletics.com/sports/baseball,https://ungathletics.com/sports/baseball/roster
"University of Pittsburgh, Johnstown",D2,Pennsylvania State Athletic Conference,PA,"Johnstown, PA",https://pittjohnstownathletics.com/sports/baseball,https://pittjohnstownathletics.com/sports/baseball/roster
University of Sioux Falls,D2,Northern Sun Intercollegiate Conference,SD,"Sioux Falls, SD",https://usfcougars.com/sports/baseball,https://usfcougars.com/sports/baseball/roster
