title,division,conference,state,location,link,roster_link
Coppin State University,D1,Mid-Eastern,MD,"Baltimore, MD",http://coppinstatesports.com/index.aspx?path=baseball,http://coppinstatesports.com/sports/baseball/roster
Cornell University,D1,Ivy League,NY,"Ithaca, NY",http://cornellbigred.com/index.aspx?path=baseball,http://cornellbigred.com/sports/baseball/roster
Creighton University,D1,Big East,NE,"Omaha, NE",http://gocreighton.com/index.aspx?path=base,http://gocreighton.com/sports/baseball/roster
Dallas Baptist University,D1,Missouri Valley,TX,"Dallas, TX",https://dbupatriots.com/index.aspx?path=baseball,https://dbupatriots.com/sports/baseball/roster
Dartmouth College,D1,Ivy League,NH,"Hanover, NH",https://dartmouthsports.com/index.aspx?path=baseball,https://dartmouthsports.com/sports/baseball/roster
Davidson College,D1,Atlantic 10,NC,"Davidson, NC",https://davidsonwildcats.com/index.aspx?path=baseball,https://davidsonwildcats.com/sports/baseball/roster
Delaware State University,D1,Mid-Eastern,DE,"Dover, DE",http://www.dsuhornets.com/SportSelect.dbml?DB_OEM_ID=12900&SPID=5810&KEY=,http://www.dsuhornets.com/sports/baseball/roster
Dixie State University,D1,Western Athletic,UT,"St. George, UT",https://dixiestateathletics.com/sports/baseball,https://dixiestateathletics.com/sports/baseball/roster
Duke University,D1,ACC,NC,"Durham, NC",http://www.goduke.com/SportSelect.dbml?DB_OEM_ID=4200&SPID=1850&SPSID=22847&KEY=,http://www.goduke.com/sports/baseball/roster
East Carolina University,D1,American Athletic,NC,"Greenville, NC",https://ecupirates.com/index.aspx?path=baseball,https://ecupirates.com/sports/baseball/roster
East Tennessee State University,D1,Southern,TN,"Johnson City, TN",http://www.etsubucs.com/baseball/,http://www.etsubucs.com/baseball/roster
Eastern Illinois University,D1,Ohio Valley,IL,"Charleston, IL",https://eiupanthers.com/index.aspx?path=baseball,https://eiupanthers.com/sports/baseball/roster
Eastern Kentucky University,D1,Ohio Valley,KY,"Richmond, KY",https://ekusports.com/index.aspx?path=baseball,https://ekusports.com/sports/baseball/roster
Eastern Michigan University,D1,Mid-American,MI,"Ypsilanti, MI",https://emueagles.com/index.aspx?path=baseball,https://emueagles.com/sports/baseball/roster
Elon University,D1,Colonial,NC,"Elon, NC",https://elonphoenix.com/index.aspx?path=baseball,https://elonphoenix.com/sports/baseball/roster
Fairfield University,D1,Metro Atlantic,CT,"Fairfield, CT",https://fairfieldstags.com/index.aspx?path=baseball,https://fairfieldstags.com/sports/baseball/roster
Fairleigh Dickinson University,D1,Northeast,NJ,"Teaneck, NJ",https://fduknights.com/index.aspx?path=baseball,https://fduknights.com/sports/baseball/roster
Florida A&M University,D1,Mid-Eastern,FL,"Tallahassee, FL",http://www.famuathletics.com/SportSelect.dbml?DB_OEM_ID=25300&SPID=80916&SPSID=606605,http://www.famuathletics.com/sports/baseball/roster
Florida Atlantic University,D1,Conference USA,FL,"Boca Raton, FL",https://fausports.com/index.aspx?path=baseball,https://fausports.com/sports/baseball/roster
Florida Gulf Coast University,D1,ASUN,FL,"Fort Myers, FL",https://fgcuathletics.com/index.aspx?path=baseball,https://fgcuathletics.com/sports/baseball/roster
Florida International University,D1,Conference USA,FL,"Miami, FL",https://fiusports.com/index.aspx?path=baseball,https://fiusports.com/sports/baseball/roster
Florida State University,D1,ACC,FL,"Tallahassee, FL",https://seminoles.com/sports/baseball/,https://seminoles.com/sports/baseball/roster
Fordham University,D1,Atlantic 10,NY,"Bronx, NY",https://fordhamsports.com/index.aspx?path=baseball,https://fordhamsports.com/sports/baseball/roster
Gardner-Webb University,D1,Big South,NC,"Boiling Springs, NC",https://gwusports.com/index.aspx?path=baseball,https://gwusports.com/sports/baseball/roster
George Mason University,D1,Atlantic 10,VA,"Fairfax, VA",https://gomason.com/index.aspx?path=baseball,https://gomason.com/sports/baseball/roster
George Washington University,D1,Atlantic 10,DC,"Washington, D.C.",https://gwsports.com/index.aspx?path=baseball,https://gwsports.com/sports/baseball/roster
Georgetown University,D1,Big East,DC,"Washington, D.C.",http://www.guhoyas.com/index.aspx?path=baseball,http://www.guhoyas.com/sports/baseball/roster
Georgia Institute of Technology,D1,ACC,GA,"Atlanta, GA",https://ramblinwreck.com/sports/m-basebl/,https://ramblinwreck.com/sports/m-basebl/roster
