title,division,state,roster_link
Wabash Valley,D1,
Chandler-Gilbert,D2,
GateWay (AZ),D2,
Glendale,D2,
Mesa,D2,
Paradise Valley,D2,
Phoenix,D2,
Scottsdale,D2,
Carl Albert State,D2,
Murray State,D2,
National Park College,D2,
Northern Oklahoma Enid,D2,
Northern Oklahoma Tonkawa,D2,
Redlands,D2,
UA Rich Mountain,D2,
Western Oklahoma State,D2,
Monroe CC,D2,
Black Hawk-Moline,D2,
Bryant & Stratton College (WI),D2,
Carl Sandburg,D2,
Highland (IL),D2,
Kankakee,D2,
Lake County,D2,
Madison,D2,
McHenry County,D2,
Moraine Valley,D2,
Morton,D2,
Prairie State,D2,
Sauk Valley,D2,
Hesston,D2,
ASA Miami,D2,
Pasco-Hernando State,D2,
Brunswick,D2,
Bryant & Stratton (VA),D2,
Camp Community College,D2,
Catawba Valley,D2,
Cleveland Community College,D2,
Fayetteville Tech,D2,
Guilford Tech,D2,
Lenoir,D2,
Patrick Henry,D2,
Pitt,D2,
Southeastern-Whiteville,D2,
Wake Tech,D2,
Des Moines Area,D2,
Ellsworth,D2,
Iowa Central,D2,
Iowa Lakes,D2,
Kirkwood,D2,
North Iowa Area,D2,
Northeast,D2,
Southeastern,D2,
Ancilla,D2,
Glen Oaks,D2,
Grand Rapids,D2,
Henry Ford,D2,
Ivy Tech Community College Northeast,D2,
Jackson,D2,
Kalamazoo Valley,D2,
Kellogg,D2,
Lake Michigan,D2,
Lakeland,D2,
Lansing,D2,
Macomb,D2,
Mid Michigan,D2,
Mott,D2,
Muskegon,D2,
Schoolcraft,D2,
St. Clair County,D2,
Bay College,D2,
Bismarck State,D2,
Dakota,D2,
Dakota County Tech,D2,
Dawson,D2,
Gogebic,D2,
Lake Region State,D2,
Miles,D2,
Williston State,D2,
Orange County,D2,
Sullivan County,D2,
Ulster County,D2,
North Central Missouri,D2,
Delaware Tech,D2,
Lackawanna,D2,
Mercer County,D2,
Morris,D2,
Raritan Valley,D2,
Sussex County,D2,
Allegany Maryland,D2,
Anne Arundel,D2,
CCBC Catonsville,D2,
CCBC Dundalk,D2,
CCBC Essex,D2,
Cecil,D2,
Chesapeake,D2,
Frederick,D2,
Garrett,D2,
Montgomery,D2,
Southern Maryland,D2,
UConn Avery Point,D2,
Coahoma,D2,
Copiah-Lincoln,D2,
East Central (MS),D2,
East Mississippi,D2,
Hinds,D2,
Holmes,D2,
Itawamba,D2,
Jones,D2,
LSU Eunice,D2,
Meridian,D2,
Mississippi Delta,D2,
Mississippi Gulf Coast,D2,
Northeast Mississippi,D2,
Northwest Mississippi,D2,
Pearl River,D2,
Southwest Mississippi,D2,
Danville Area,D2,
Heartland,D2,
Illinois Central,D2,
John Wood,D2,
Lewis & Clark,D2,
Lincoln Land,D2,
Parkland,D2,
Spoon River,D2,
Vincennes,D2,
North Arkansas,D3,
Cayuga,D3,
Columbia-Greene,D3,
Corning,D3,
Erie,D3,
Finger Lakes,D3,
Fulton-Montgomery,D3,
Genesee,D3,
Herkimer,D3,
Hudson Valley,D3,
Jamestown,D3,
Jefferson (NY),D3,
Mohawk Valley,D3,
Niagara County,D3,
Onondaga,D3,
SUNY Adirondack,D3,
SUNY Broome,D3,
Schenectady County,D3,
Tompkins Cortland,D3,
DuPage,D3,
Elgin,D3,
Harper,D3,
Illinois Valley,D3,
Joliet,D3,
Milwaukee Area Tech,D3,
Oakton,D3,
Rock Valley,D3,
Waubonsee,D3,
Brookhaven,D3,
Dallas College - Cedar Valley,D3,
Dallas College - Richland,D3,
Eastfield,D3,
Mountain View,D3,
North Lake,D3,
Caldwell Tech,D3,
Rockingham,D3,
Surry,D3,
Thomas Nelson Community College,D3,
Delta,D3,
Lorain County,D3,
Owens,D3,
Anoka-Ramsey,D3,
Central Lakes,D3,
Century,D3,
Fond du Lac Tribal,D3,
Hibbing,D3,
Itasca,D3,
Mesabi Range,D3,
Minnesota State,D3,
Minnesota West,D3,
North Dakota SCS,D3,
Northland,D3,
Rainy River,D3,
Ridgewater,D3,
Riverland,D3,
Rochester,D3,
St. Cloud Tech,D3,
Vermilion,D3,
Western Tech,D3,
Coastal Bend,D3,
Tyler,D3,
Borough of Manhattan,D3,
Bronx,D3,
Kingsborough,D3,
Monroe College - Bronx,D3,
Nassau,D3,
Queensborough,D3,
Suffolk County,D3,
Atlantic Cape,D3,
Bergen,D3,
Brookdale,D3,
Bucks County,D3,
Camden County,D3,
Cumberland County,D3,
Delaware County,D3,
Luzerne County,D3,
Middlesex County,D3,
Montgomery County,D3,
Northampton,D3,
Ocean County,D3,
Rowan Gloucester,D3,
Salem Community College,D3,
Union County,D3,
Butler County,D3,
CC of Allegheny County,D3,
Prince George's,D3,
Westmoreland,D3,
Bunker Hill,D3,
Holyoke,D3,
MassBay,D3,
Massasoit,D3,
Northern Essex,D3,
Quinsigamond,D3,
Rhode Island,D3,
